module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
TDS,_meta,,,,,,,,,false,https://github.com/procksha/bmad-tds-module/blob/main/docs/README.md,
TDS,bmad-tds-setup,/bmad-tds-setup,1,"Bootstrap phase-2 install/upgrade/repair/status/uninstall",install,--profile=lite|full,setup,,,true,{output_folder}/_tds/state-manifest.yaml,
TDS,bmad-tds-execute-story,/bmad-tds-execute-story,2,"Execute one story dev-phase до status=review (delegates engineer or domain role-skill; auditor verdict — отдельный clean-context flow через /bmad-tds-code-review)",run,<story-id>,implementation,bmad-create-story,,true,{impl_artifacts}/stories,
TDS,bmad-tds-execute-epic,/bmad-tds-execute-epic,3,"Execute epic via integration-branch (sequential stories on epic_branch)",run,<epic-id>,implementation,bmad-tds-execute-story,,true,{impl_artifacts}/stories,
TDS,bmad-tds-code-review,/bmad-tds-code-review,4,"Review story (Mode 1) or epic (Mode 2 — final squash merge through tds deliver)",review,<story-id|epic-id>,review,bmad-tds-execute-story,bmad-tds-execute-epic,true,{output_folder}/_tds/runtime/doctor/review-reports,
TDS,bmad-tds-generate-docs,/bmad-tds-generate-docs,5,"Generate or update docs (delegates auditor for review + writer for prose; engineer for inline code-comments)",update,<scope>,documentation,,,false,{project_knowledge}/docs,
TDS,bmad-tds-retro,/bmad-tds-retro,6,"Sprint retrospective — auditor analysis + lessons extraction (writer formulates) + Bridge Plan proposal (записывается в retro-md, не creates bridge сразу)",retro,<scope>,retro,bmad-tds-execute-epic,,false,{output_folder}/{impl_artifacts}/retros,
TDS,bmad-tds-bridge-from-retros,/bmad-tds-bridge-from-retros,7,"Curated pre-epic из накопленных retros — aggregate ## Bridge Plan секций, auditor refinement, user dialog, bulk-apply через tds epic create-bridge-from-retros. Output — bridge в authoring-pending state: stub specs created с TBD AC/Tasks, user authoring required + tds epic bridge validate-specs before execute.",bridge,--blocks=<next-epic-id>,planning,bmad-tds-retro,bmad-tds-execute-epic,false,{impl_artifacts}/sprint-status.yaml,
TDS,bmad-tds-archive-phase,/bmad-tds-archive-phase,8,"Phase finalization — snapshot stories+state into <output_folder>/_archive/<phase> + writer-generated phase-summary.md",archive,<phase-name>,close,bmad-tds-retro,,false,{output_folder}/_archive,
TDS,bmad-tds-test-author,/bmad-tds-test-author,9,"Test-author phase: ATDD + independent test-review с retry-loop. Delegates BMAD TEA (bmad-testarch-atdd + bmad-testarch-test-review). Hard dependency на bmad-tea-module.",run,<story-id>,test-author,bmad-create-story,bmad-tds-execute-story,false,{impl_artifacts}/stories,
TDS,bmad-tds-navigator,/bmad-tds-navigator,10,"Process role-skill — orientation only; reads state, proposes next step (sub-skill invocation typical)",delegate,,role,,,false,,
TDS,bmad-tds-engineer,/bmad-tds-engineer,11,"Process role-skill — implementation; code-write + story-ops + integrity-record (sub-skill invocation typical)",delegate,,role,,,false,,
TDS,bmad-tds-auditor,/bmad-tds-auditor,12,"Process role-skill — verification; review-read + integrity-verify (sub-skill invocation typical)",delegate,,role,,,false,,
TDS,bmad-tds-writer,/bmad-tds-writer,13,"Process role-skill — documentation prose; README/CHANGELOG/runbooks/ADR (doc-files only, not code)",delegate,,role,,,false,,
TDS,bmad-tds-python,/bmad-tds-python,20,"Domain role-skill — Python (FastAPI, Django, asyncio, pandas) with techstack-pack guidance",delegate,,role,,,false,,
TDS,bmad-tds-csharp,/bmad-tds-csharp,21,"Domain role-skill — C# / .NET (ASP.NET Core, EF Core, Blazor) with techstack-pack guidance",delegate,,role,,,false,,
TDS,bmad-tds-java,/bmad-tds-java,22,"Domain role-skill — JVM (Spring Boot, Hibernate, Kotlin-backend) with techstack-pack guidance",delegate,,role,,,false,,
TDS,bmad-tds-frontend,/bmad-tds-frontend,23,"Domain role-skill — Web frontend (React, Vue, Angular + a11y/quality) with techstack-pack guidance",delegate,,role,,,false,,
TDS,bmad-tds-ios,/bmad-tds-ios,24,"Domain role-skill — Swift, SwiftUI, UIKit, Core Data, App Store with techstack-pack guidance",delegate,,role,,,false,,
TDS,bmad-tds-android,/bmad-tds-android,25,"Domain role-skill — Kotlin, Jetpack Compose, Room, Hilt, Coroutines/Flow with techstack-pack guidance",delegate,,role,,,false,,
